27  You are interested in what meetings happened at Enron. You want to know who attended the meeting and its nature. You are interested in if there were internal or external stakeholders involved and the topic of conversation.
28  You are interested in the investments that Enron made. You want to know what different areas they invested in and through what arm of the company this was done. You are also interested in the success of the investment. 
29  You are interested in the city of Sacramento, California. You want to know what activities Enron carried out in the city. You also want to know more about what other bodies and organisations were based in the city, such as the senate for the state.
30  You are interested in the sourcing and procurement procedures of Enron. You want to know more about which departments dealt with this side of the company and what they sourced. You are also interested in how effective they were as a department.
31  You are interested in financial mathematics conferences. You want to know how Enron was involved in these types of conferences. You are also interested in who spoke at the conferences and where they took place.
32  You are interested in how Enron transferred confidential information. You want to know more about the methods used and what parties were transferring the information.
33  You are interested in the regulation of the inter-state transfer of gas. You want to know more about what body decided the conditions under which the company had to operate. Inter-state gas transfer is regulated at a federal level.
34  You are interested in analysts at Enron. You want to know more about the different types of analysts and who was given this title. You are also interested in how these analysts joined the company.
35  You are interested in Enronâ€™s relationship with the state of California. You want to know more about how Enron operated in the state and the assets that it had there. The laws of this state provided Enron with business opportunities.
36  You are interested in Kenneth Lay. You want to know more about his role in Enron and the conditions under which he inherited the role. You are also interested in the outcomes of investigations into him.
37  You are interested in Mellisa Kean. You want to know more about her relationship with any members of Enron staff. You are also interested in what she did for a living and where this took place.
38  You are interested in Vincent Kaminski. You want to know more about his role at Enron and what he was researching. You also want to know more about the presentations and talks that he gave as part of his work with Enron.
39  You are interested in Jeff Skilling. You want to know more about what his role in Enron was and what this consisted of. You also want to know more about his resignation and why he was motivated to leave the company after only 6 months in his position.
40  You are interested in Joanna Vidal. You want to know more about her job; the role that she had and the company that she worked for. You also want to know what types of events she organised for Enron and their subjects.
41  You are interested in United States senators. You want to know more about the influence that Enron had over them and what they used this lobbying for. You are also interested in which of the 100 US senators Enronâ€™s lobbying targeted, and what state they represent.
42  You are interested in Investor Owned Utilities. You are interested in what these are and what the public sentiment towards them was at the time. You are also interested in knowing what the other IOUs were, other than Enron.
43  You are interested in the capital of Belgium; Brussels. You want to know more about Enronâ€™s activities in the city, as well as the significance of the city for the international energy industry as a whole. You are also interested in events that happened in the city.
44  You are interested in the capital of France; Paris. You want to know more about Enronâ€™s activities in the city, as well as the significance of the city for the international energy industry as a whole. You are also interested in energy companies based there.
45  You are interested in the capital of The Netherlands; Amsterdam. You want to know more about Enronâ€™s activities in the city, as well as what people were doing in the city on a more individual level.
46  You are interested in London, the capital of the United Kingdom. You want to know more about the significance of London to the companyâ€™s European operations. You also want to know more about the offices that Enron held in the city.
47  You are interested in Enronâ€™s connections with universities. You want to know which universities they worked for and the nature of the collaborations. You also want to know more about the papers that Enron published in collaboration with universities.
48  You are interested in letters that Enron sent and received. You want to know who the senders/recipients of letters were, as well as the subject of the letters. You are also interested in how people plan the writing of letters.
49  You are interested in taxes. You want to know what types of taxes Enron paid as an energy supplier, for example; taxes paid on income or electricity prices. You would also like to know more about how changes in tax rates affected the business.
50  You are interested in The Associated Press. You want to know more about the articles that they wrote that involve Enron. You would also like to know more about why so many associated press articles were shared by the company. 
